Timestamp,,Which category applies to you?,"From July 1 2022 - June 30 2023 was your work for Smith College fully in-person, fully remote, or a combination of the two?

If you worked fully remotely, you can submit now!","If you worked fully in-person or a combination of remote and in-person work, from July 1 2022 - June 30 2023, how many days, per week, on average, did you commute to campus?","About how many miles is your commute (one-way) to Smith? 
(Google Maps: https://www.google.com/maps/@35.5643196,-51.8131398,3z?entry=ttu )",Which means of transportation did you mainly use to commute to Smith?,"If you chose ""Car"" above, do you use an EV (Electric Vehicle), or a Hybrid (cars that use both gas and electricity)?","If you use an EV or Hybrid, how convenient do you find the number and location of Smith's EV charging spots on campus?",(Optional) Please elaborate on your answer above.,"Are you currently, or have you ever considered buying an EV?",Would the availability of charging stations on campus impact your decision?,"(Optional) is there any other information CEEDS should know about the carbon footprint of your commute? (for example, you might share your car's gas mileage or unusual commuting circumstances)","If you were hired after July 1 2022, please select which month you were hired below:"
7/25/2023 16:09:10,4,Faculty,Combination of the two,3,2,Bicycle,,,,No,n/a,,
7/25/2023 7:51:24,10,Faculty,Fully in-person,4,1.5,Bicycle,,,,No,,,
,,,,,1.75,,,,,,,,
7/25/2023 9:16:05,1,Faculty,Combination of the two,2,9,Car (driving myself),I don't have either,1,I have one gas and one hybrid electric car.  I tend to take the gas and let spouse take the hybrid.  There are not enough charging stations at Smith and the ones we have are not convenient.,Yes,Yes!,"I attempt to bike once per week as weather cooperates.  
If Smith could negociate a deal with local auto retailers for electric cars that would be an amazing incentive.  And we need more charging stations!",
7/25/2023 9:29:32,2,Faculty,Combination of the two,2,1.5,Car (driving myself),I don't have either,,,Yes,Yes,"I ""mainly"" commuted by car, but walked or biked about 40% of the time during the past year. My household has one EV, but we use it for my wife's longer commutes. We hope to buy another EV when our current gas vehicle reaches the end of its lifespan",
7/25/2023 14:34:45,8,Faculty,Combination of the two,4,3,Car (driving myself),I don't have either,,,No,,,
7/25/2023 6:55:48,9,Faculty,Fully in-person,4,1.5,Car (driving myself),I don't have either,,,Yes,Yes,,
7/25/2023 8:36:02,11,Faculty,Fully in-person,4,8.7,Car (driving myself),I don't have either,2,I drove an EV from 2019-2021 and only recall the 2 charging spots next to Ford. ,Yes,No,"I am a 5C lecturer and also commute to the UMass campus every day. Even when I don't, I drop off and pick up my child at school in Hadley, adding to the commute.",
7/25/2023 8:38:39,12,Faculty,Fully in-person,4,10,Car (driving myself),I don't have either,,,Yes,Yes although cost is the number one factor,Approx 30mpg; commute in summer includes biking approx once per week,
7/25/2023 11:55:57,13,Faculty,Fully in-person,4,20,Car (driving myself),I don't have either,,,Yes,yes,,
9/19/2023 14:03:55,16,Faculty,Combination of the two,5,12.1,Car (driving myself),I have an EV,2,I am note even sure where the chargers all are. But I have a level 2 charger at home so I just charge there.,Yes,No,,
7/25/2023 7:01:01,17,Faculty,Fully in-person,5,10,Car (driving myself),I don't have either,,,Yes,"Yes, and I’ve already ordered the car","1) I commuted some by bike before I was in an accident, and will do so again, but getting into and out of Smith is the most dangerous part of the commute. That intersection at West/Rte 9 is awful—the light timing is bonkers. 2) I drive a lot, but also my spouse bikes to work every day, because we live closer to his work (Umass)",
7/25/2023 8:36:18,18,Faculty,Fully in-person,5,5,Car (driving myself),I don't have either,,,Yes,"Yes, I would love if more stations were available for a future EV purchase.",,
7/27/2023 5:39:28,20,Faculty,Fully in-person,5,15,Car (driving myself),I don't have either,,,Sometimes,Yes,,
7/27/2023 10:39:21,21,Faculty,Fully in-person,5,12,Car (driving myself),I have a Hybrid,2,"I have a plug-in hybrid, but I avoid using Smith's EV charging stations because they start charging me for parking after two hours whether or not my car has actually finished charging. This means I usually end up paying simultaneously for charging and parking, even though I already pay for a parking sticker every year. I wish that the chargers next to Ford Hall would begin charging a parking fee only after the battery is fully charged - then I would be more likely to use them to recharge midday.",Yes,"No - we have already purchased a fully electric vehicle as my spouse's car, and we already plan to buy a fully electric vehicle when it is time to replace my plug-in hybrid.","I have a plug-in hybrid with enough battery capacity to get me to and from campus for my regular commute. I use the gas engine only on days when I have to run other errands, or for longer trips, or to run the heat in cold weather. Overall, my car averages about 125 miles per gallon across the year (more in summer, less in winter). ",
9/19/2023 11:04:08,22,Faculty,Fully in-person,5,8,Car (driving myself),I don't have either,,,Yes,Yes,,
9/19/2023 11:05:45,23,Faculty,Fully in-person,5,6,Car (driving myself),I don't have either,,,Yes,Yes,,
9/19/2023 11:06:19,24,Faculty,Fully in-person,5,9,Car (driving myself),I don't have either,,,Yes,No,,
9/19/2023 11:10:28,25,Faculty,Fully in-person,5,10,Car (driving myself),I have a Hybrid,5,,Yes,We already have both a hybrid and an EV. I drive the hybrid to work.,"I have a plug-in hybrid with ~40 miles range electric, my total daily commute milage is ~20, so the hybrid works as an electric vehicle most of the time (except in very cold weather or if I forget to charge it overnight).",
9/19/2023 13:55:17,26,Faculty,Fully in-person,5,15,Car (driving myself),I don't have either,,,Sometimes,possibly?,,
