Timestamp,Which category applies to you?,,"From July 1 2022 - June 30 2023 was your work for Smith College fully in-person, fully remote, or a combination of the two?

If you worked fully remotely, you can submit now!",DAYS PER WEEK COMMUTING,MILES,Which means of transportation did you mainly use to commute to Smith?,"If you chose ""Car"" above, do you use an EV (Electric Vehicle), or a Hybrid (cars that use both gas and electricity)?","If you use an EV or Hybrid, how convenient do you find the number and location of Smith's EV charging spots on campus?",(Optional) Please elaborate on your answer above.,"Are you currently, or have you ever considered buying an EV?",Would the availability of charging stations on campus impact your decision?,"(Optional) is there any other information CEEDS should know about the carbon footprint of your commute? (for example, you might share your car's gas mileage or unusual commuting circumstances)","If you were hired after July 1 2022, please select which month you were hired below:"
9/19/2023 11:06:47,Staff,1,Combination of the two,2,8,Bicycle,,,,Sometimes,Yes,Re-evaluate the commuter incentive.  I think it still should be offered to hybrid schedule employees.  Two days a week in a carbon producing vehicle still contributes to the environmental mess!,
,,,,,8,,,,,,,,
7/25/2023 8:26:11,Staff,2,Combination of the two,4,5,Bus,I don't have either,,,,,"I would love to see Smith supporting expanded hours/frequency of the R41-Easthampton/Holyoke bus route to make it more convenient and usable. I don't have a car, so I am bound to it either way!",
7/25/2023 11:54:58,Staff,3,Combination of the two,5,4.3,Bus,I have a Hybrid,,"When I do drive, I drive a Prius hybrid (not a plug in)",Yes,No,"When they were available last summer and fall, I often used the electric bikes.",
9/19/2023 11:15:26,Staff,4,Combination of the two,3,10,Bus,,2,"There are very few, but the location is of the one I have used, next to Ford Hall is great for me.",,,"As I said, I generally take the bus, I get dropped off and pick up at a bus stop, usually anywhere from Walmart stop to Amherst Town green, depending. The car used to drop me off at bus station and that I sometimes take into Smith, if necessary, is an EV. 
The easier the charging, the more people will switch to EVs.",
,,,,,6.433333333,,,,,,,,
6/26/2023 8:05:23,Staff,5,Fully in-person,5 days,5,Car (driving myself),I have a Hybrid,,,Yes,"Nope, just waiting on newer, more affordable models to come out!",,
7/21/2023 14:25:18,Staff,6,Fully in-person,5 days,32.6,Car (driving myself),I don't have either,,,Yes,yes!  especially if there were fast charging options,,January 2023
7/21/2023 14:46:35,Staff,7,Fully in-person,5 days,4.5,Car (driving myself),I have a Hybrid,3,n/a ,Sometimes,"Yes, although it isn't the first consideration. ","Do we want to know what their MPG is for their car? A truck and a midsize or small can have different C footprints over the same distance. Or just the type of vehicle they drive so we can calculate C footprint based on some standards? Do we want to know if they have a parking permit for any reason? 
Good to ask this question! Do you have ideas about what people might add here? An example(s) might prompt more out-of-the-box thinking. 

:)",
7/25/2023 6:47:41,Staff,8,Combination of the two,3 days,14,Car (driving myself),I don't have either,,,Sometimes,"No, cost of the vehicle",,
7/25/2023 6:54:50,Staff,9,Fully in-person,5 days,13,Car (driving myself),I don't have either,,,Yes,,,
7/25/2023 7:29:30,Staff,10,Fully in-person,5 days,60,Car (driving myself),I don't have either,,"I have asked HR to provide a list of car pool possibilities, but they never got back to me",Yes,yes--but right now I can't afford an EV or hybrid,"Again, it would be helpful if Smith helped commuters to find car pool buddies",
7/25/2023 7:36:19,Staff,11,Combination of the two,3 days,5,Car (driving myself),I don't have either,,,No,No,,
7/25/2023 7:36:56,Staff,12,Combination of the two,2 days,5,Car (driving myself),I don't have either,,,Yes,yes,,
7/25/2023 7:41:18,Staff,13,Combination of the two,1 day,10,Car (driving myself),I don't have either,,,Sometimes,"No, but it would be a perk. ",,
7/25/2023 7:58:39,Staff,14,Fully in-person,5 days,10,Car (driving myself),I don't have either,,,Yes,No. ,,
7/25/2023 7:59:46,Staff,15,Combination of the two,3 days,17,Car (driving myself),I have a Hybrid,3,,Sometimes,"The availability of charging stations is not the primary decision factor for me in purchasing an EV. Primary decision factors include vehicle cost, reliability ratings, driving mileage range. ",Primarily highway driving with an average of about 27-28 MPG.,
7/25/2023 8:00:41,Staff,16,Combination of the two,2 days,1.4,Car (driving myself),I don't have either,,,No, No,EV cars also do damage to the environment. I hope Smith does not start shaming those of us who do not have EVs ,
7/25/2023 8:07:31,Staff,17,Combination of the two,4 days,28,Car (driving myself),I don't have either,,,Sometimes,yes,my mileage average - 32 mpg,March 2023
7/25/2023 8:12:04,Staff,18,Combination of the two,4 days,21.6,Car (driving myself),I don't have either,,,Yes,,,
7/25/2023 8:15:58,Staff,19,Combination of the two,2 days,8,Car (driving myself),,,,Yes,Maybe,"My partner and I both work at Smith. We carpool 2-3 days per week, and from July '22 to June '23, we alternated vehicles to balance the wear and tear. ",
7/25/2023 8:17:27,Staff,20,Fully in-person,5 days,48,Car (driving myself),I don't have either,,,No,Yes,My car gets 30 MPG during my commute,
7/25/2023 8:20:42,Staff,21,Combination of the two,3,6.25,Car (driving myself),I don't have either,,,Yes,Yes. In fact the lack of convenient charging and wild price changes of existing charging on campus has me considering a new ICE vehicle instead. Where my son works almost half of the parking spots have free electric charging. Really is encouraging EV adoption there.,,
7/25/2023 8:24:03,Staff,22,Combination of the two,5,20,Car (driving myself),I don't have either,,An EV would be an expensive upgrade to the car I have now especially considering the high automotive loan interest rates right now. Also I don’t have a level two charger at home and that would be an expensive install as on campus charging always look full and I don’t think I have the flexibility I’m my smith work schedule to switch my car spot into ev charge spot when one becomes available.  Smith could do more in these areas to support Ev adoption.,Yes,Yes and the flexibility in work schedule to shuffle car into and out of ev car charging spot.,"It’s very expensive to live near campus as home prices are a few hundred thousand dollars more than towns further away. Smith’s housing assistance second mortgage plan is not liberal enough and supports high earning faculty and staff at grade G and above. More resources could be shifted from this group of high paid faculty and administration employees to lower grade, H and below, to support these employees living closer to campus.  Initiatives like these should be part of the equity and inclusion racial justice action planning as well as carbon footprint initiatives. Thank you for your time.",
